"place","wordstem","n","# abstracts / wordstem"
1,"inform",67,26
2,"system",66,26
3,"user",63,27
4,"interact",41,21
5,"data",40,16
6,"convers",38,26
7,"languag",31,13
8,"navig",31,9
9,"agent",30,14
10,"assist",30,14
11,"virtual",29,11
12,"locat",27,21
13,"robot",24,7
14,"task",23,12
15,"human",22,15
16,"model",22,12
17,"object",22,6
18,"spatial",22,11
19,"environ",20,12
20,"interfac",20,11
21,"mobil",20,8
22,"knowledg",19,11
23,"learn",19,12
24,"game",18,3
25,"entiti",17,4
26,"provid",17,14
27,"natur",16,10
28,"servic",16,9
29,"studi",16,13
30,"applic",15,7
31,"geograph",15,11
32,"intellig",15,9
33,"queri",15,6
34,"context",14,7
35,"develop",14,9
36,"experi",14,10
37,"semant",14,10
38,"technolog",14,9
39,"challeng",13,10
40,"design",13,12
41,"framework",13,6
42,"guid",13,6
43,"map",13,6
44,"name",13,4
45,"process",13,9
46,"propos",13,10
47,"comput",12,8
48,"improv",12,11
49,"recognit",12,7
50,"specif",12,8
51,"communic",11,7
52,"construct",11,3
53,"creat",11,7
54,"describ",11,8
55,"devic",11,8
56,"evalu",11,4
57,"platform",11,5
58,"set",11,6
59,"term",11,8
60,"tourist",11,4
61,"access",10,7
62,"architectur",10,5
63,"digit",10,6
64,"enabl",10,8
65,"featur",10,7
66,"local",10,4
67,"person",10,8
68,"player",10,2
69,"question",10,5
70,"refer",10,5
71,"test",10,5
72,"weather",10,2
73,"answer",9,5
74,"demonstr",9,7
75,"engag",9,5
76,"includ",9,8
77,"ner",9,2
78,"speech",9,5
79,"time",9,9
80,"chatbot",8,5
81,"cognit",8,3
82,"complex",8,7
83,"cultur",8,4
84,"dialogu",8,5
85,"effici",8,7
86,"implement",8,8
87,"integr",8,8
88,"narrat",8,2
89,"rout",8,4
90,"search",8,5
91,"solut",8,6
92,"usabl",8,5
93,"build",7,6
94,"cdna",7,1
95,"code",7,2
96,"combin",7,6
97,"effect",7,6
98,"explor",7,4
99,"function",7,4
100,"gis",7,2
